Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,SKS,Praktikum,Kewajiban
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,1,Pengampu,6,2,0,0
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,2,"Pengelola, Pengampu",47,2,0,0
CIE61115,Manajemen Sistem Pendidikan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",39,3,0,0
COM60015,Matematika Diskret,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103,2,0,1
COM60015,Matematika Diskret,Pendidikan Teknologi Informasi,1,Pengampu,100,2,0,1
COM60015,Matematika Diskret,Sistem Informasi,1,Pengampu,100,2,0,1
COM60015,Matematika Diskret,Sistem Informasi,2,Pengampu,103,2,0,1
COM60015,Matematika Diskret,Teknologi Informasi,1,Pengampu,100,2,0,1
COM60015,Matematika Diskret,Teknologi Informasi,2,"Pengelola, Pengampu",103,2,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",100,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Pendidikan Teknologi Informasi,1,Pengampu,100,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Pendidikan Teknologi Informasi,2,Pengampu,103,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Sistem Informasi,1,Pengampu,100,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Sistem Informasi,2,Pengampu,103,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Teknologi Informasi,2,Pengampu,103,3,0,1
CIE61402,Paradigma Berpikir Komputasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,3,0,0
CIE61403,Paradigma Berpikir Sistem dan Desain,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,3,0,0
CIE62204,Paradigma Sistem,Pendidikan Teknologi Informasi,1,Pengampu,6,2,0,1
CIE61109,Pembelajaran Mikro,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",39,3,1,1
CIE61109,Pembelajaran Mikro,Pendidikan Teknologi Informasi,1,Pengampu,100,3,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,5,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4,5,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,67,5,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,75,5,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,76,5,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,82,5,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,91,5,1,1
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,2,Pengampu,103,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,"Pengelola, Pengampu",4,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,31,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,67,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,76,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,82,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,87,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,91,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,2,Pengampu,23,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,"Pengelola, Pengampu",4,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,31,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,75,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,76,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,82,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,91,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,2,Pengampu,67,5,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",22,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",72,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",73,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",102,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,1,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,20,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,60,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,60,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,70,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,91,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,98,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,2,"Pengelola, Pengampu",16,3,1,1
CSD60705,Pemrograman SQL,Teknologi Informasi,1,"Pengelola, Pengampu",102,3,1,1
CSD60705,Pemrograman SQL,Teknologi Informasi,1,Pengampu,60,3,1,1
CSD60705,Pemrograman SQL,Teknologi Informasi,1,Pengampu,91,3,1,1
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103,3,1,1
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4,3,1,1
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47,3,1,1
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,75,3,1,1
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,82,3,1,1
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,105,3,1,1
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,1,3,0,0
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,16,3,0,0
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,22,3,0,0
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,31,3,0,0
CSD60708,Penambangan Data,Pendidikan Teknologi Informasi,1,Pengampu,102,3,0,1
CSD60708,Penambangan Data,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,"Pengelola, Pengampu",30,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,"Pengelola, Pengampu",52,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,"Pengelola, Pengampu",107,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,Pengampu,1,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,Pengampu,16,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,Pengampu,20,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,Pengampu,29,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,Pengampu,72,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,Pengampu,80,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,1,Pengampu,102,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,2,Pengampu,89,3,0,0
CSD60708,Penambangan Data,Sistem Informasi,2,Pengampu,97,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,"Pengelola, Pengampu",30,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,"Pengelola, Pengampu",107,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,1,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,16,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,20,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,29,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,52,3,0,0
