Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",16,CIT60039,3,0,0
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",47,CIT60039,3,0,0
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,1,Pengampu,1,CIT60039,3,0,0
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,1,Pengampu,31,CIT60039,3,0,0
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,1,Pengampu,75,CIT60039,3,0,0
CIT60053,Pengembangan Gim,Teknologi Informasi,1,Pengampu,16,CIT60053,3,0,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,"Pengelola, Pengampu",4,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,"Pengelola, Pengampu",16,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,"Pengelola, Pengampu",55,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,Pengampu,60,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,1,Pengampu,62,CSD60711,3,1,0
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,2,Pengampu,12,CSD60711,3,1,0
CSD60712,Probabilitas dan Statistika,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92,CSD60712,3,0,1
CSD60712,Probabilitas dan Statistika,Teknologi Informasi,1,"Pengelola, Pengampu",107,CSD60712,3,0,1
CSD60712,Probabilitas dan Statistika,Teknologi Informasi,1,Pengampu,11,CSD60712,3,0,1
CSD60712,Probabilitas dan Statistika,Teknologi Informasi,1,Pengampu,16,CSD60712,3,0,1
CSD60712,Probabilitas dan Statistika,Teknologi Informasi,1,Pengampu,83,CSD60712,3,0,1
CSD60712,Probabilitas dan Statistika,Teknologi Informasi,1,Pengampu,93,CSD60712,3,0,1
CSD60712,Probabilitas dan Statistika,Teknologi Informasi,1,Pengampu,100,CSD60712,3,0,1
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,"Pengelola, Pengampu",94,CIT60033,3,0,0
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,35,CIT60033,3,0,0
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,41,CIT60033,3,0,0
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,75,CIT60033,3,0,0
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,83,CIT60033,3,0,0
CSD60710,Sistem Informasi Geografis,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",11,CSD60710,3,1,0
CIT62010,Sistem Operasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CIT62010,3,0,0
CIT62010,Sistem Operasi,Teknologi Informasi,1,Pengampu,16,CIT62010,3,0,0
CIT62010,Sistem Operasi,Teknologi Informasi,1,Pengampu,20,CIT62010,3,0,0
CIT62010,Sistem Operasi,Teknologi Informasi,1,Pengampu,75,CIT62010,3,0,0
CIT62010,Sistem Operasi,Teknologi Informasi,1,Pengampu,75,CIT62010,3,0,0
CIT62010,Sistem Operasi,Teknologi Informasi,1,Pengampu,79,CIT62010,3,0,0
