Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CIS62117,Manajemen Rantai Suplai,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CIS62117,2,0,0
CIS62117,Manajemen Rantai Suplai,Sistem Informasi,1,"Pengelola, Pengampu",22,CIS62117,2,0,0
CIS62117,Manajemen Rantai Suplai,Sistem Informasi,1,"Pengelola, Pengampu",108,CIS62117,2,0,0
CIS62117,Manajemen Rantai Suplai,Sistem Informasi,1,Pengampu,108,CIS62117,2,0,0
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,1,Pengampu,6,CIS61119,2,0,0
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,2,"Pengelola, Pengampu",47,CIS61119,2,0,0
COM60015,Matematika Diskret,Sistem Informasi,1,Pengampu,100,COM60015,2,0,1
COM60015,Matematika Diskret,Sistem Informasi,2,Pengampu,103,COM60015,2,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,COM60051,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Sistem Informasi,1,Pengampu,100,COM60051,3,0,1
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Sistem Informasi,2,Pengampu,103,COM60051,3,0,1
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",13,CIS62104,3,1,1
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",53,CIS62104,3,1,1
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,"Pengelola, Pengampu",6,CIS62104,3,1,1
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,Pengampu,16,CIS62104,3,1,1
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,Pengampu,49,CIS62104,3,1,1
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,Pengampu,55,CIS62104,3,1,1
CIS62104,Pemodelan Proses Bisnis,Sistem Informasi,1,Pengampu,108,CIS62104,3,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,"Pengelola, Pengampu",4,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,31,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,67,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,76,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,82,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,87,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,91,COM60014,5,1,1
COM60014,Pemrograman Dasar,Sistem Informasi,2,Pengampu,23,COM60014,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",16,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",20,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Pengelola, Pengampu",4,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Pengelola, Pengampu",52,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Pengelola, Pengampu",70,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,1,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,31,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,37,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,55,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,65,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,75,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,76,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,80,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,82,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,87,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,91,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,1,Pengampu,98,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,2,"Pengelola, Pengampu",22,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Sistem Informasi,2,Pengampu,23,COM60024,5,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",22,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",72,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",73,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",102,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,1,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,20,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,60,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,60,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,70,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,91,CSD60705,3,1,1
